City,Restaurant,Price,Avg ratings,Total ratings,Delivery time
Kolkata,Bake O Cake,400,4.2,100,49
Kolkata,The Country House,500,4.3,100,57
Mumbai,Punjab Depot,249,3.9,1000,48
Mumbai,Art House - The Fern Residency,800,2.9,80,48
Mumbai,Central Peninsula,400,4.4,100,47
Kolkata,Noodle Oodle,600,4.1,100,83
Kolkata,Handa'S Restaurant,300,3,20,50
Chennai,Anjappar,600,4,50,34
Chennai,Ponnusamy Hotel,600,4.2,100,38
Pune,Exotica,1100,4.1,20,64
Delhi,Behrouz Biryani,500,4.2,500,38
Kolkata,Oasis,900,4.3,20,61
Mumbai,Hazara Restaurant & Bar,600,4,20,53
Mumbai,Pizzaexpress,1000,4.2,100,43
Delhi,Faasos,200,4.1,100,46
Chennai,Cafe Chef'S Paradise,450,4.2,20,67
Pune,Hotel Malwani Solkadi,500,2.9,80,44
Chennai,New Andhra Meals Hotel,400,4.4,500,69
Hyderabad,New Astoria Restaurant,450,3.8,100,34
Kolkata,Kasturi Restaurant,500,4.1,100,59
Kolkata,Kasturi Restaurant,500,4.3,500,72
Pune,Cafe Zam Zam,250,4.1,1000,64
Pune,One Way Paratha,250,4.3,100,73
Chennai,Moonlight Takeaway & Delivery,250,4,1000,66
Pune,Taste Of Hyderabad,350,3.8,100,37
Pune,Fountain Family Rest O Bar,500,4.4,20,37
Chennai,Sera - The Tapas Bar & Restaurant,1000,4.1,20,60
Kolkata,C/O. Bangali,700,4.2,50,57
Kolkata,Kim Ling,600,4.3,1000,63
Kolkata,Beijing,1200,4.2,1000,62
Bangalore,Kabab Magic,400,3.3,100,32
Hyderabad,Exotica,1000,4.5,500,65
Pune,Mirch Masala Resto Bar,800,4.5,100,63
Kolkata,The Silk Route,400,3.5,20,65
Kolkata,My Big Fat Belly,600,4.3,100,67
Kolkata,Overdose,400,3.9,500,70
Bangalore,Chickpet Donne Biriyani House,200,3.8,100,52
Chennai,Chap Chay - The Raintree,1200,4.4,50,72
Pune,Murphies,1100,3.9,20,62
Chennai,Tibbs Frankie,100,3.8,100,34
Hyderabad,Blr Food Kourt,250,4.1,20,63
Chennai,Ganga Sweets,250,4.5,100,31
Mumbai,Capital Social,500,4.3,100,46
Mumbai,Behrouz Biryani,500,4.1,100,34
Kolkata,Chili'S American Grill & Bar,900,4.4,100,76
Kolkata,Fresh-N-Up,450,4.4,100,66
Hyderabad,Palace Heights,1700,3.8,50,44
Delhi,Pizza Hut,350,3.6,100,37
Kolkata,Azad Hind Dhaba-Ballygunge,400,4.3,1000,62
Chennai,Karaikudi Chettinadu Restaurant,300,3.6,20,78
Kolkata,Tgi Fridays,1000,4.2,20,67
